src,dst,amount,timestamp,is_fraud,ring_id,pattern,txn_id
U000471,U000359,492.31,2025-01-01 00:04:00,0,,legit,T0000000
U000456,U001709,265.44,2025-01-01 00:19:00,0,,legit,T0000001
U000219,U001811,495.29,2025-01-01 00:39:00,0,,legit,T0000002
U000721,U001352,4814.14,2025-01-01 01:16:00,0,,legit,T0000003
U001681,U000968,301.05,2025-01-01 01:18:00,0,,legit,T0000004
U001236,U000126,1380.56,2025-01-01 01:41:00,0,,legit,T0000005
U001713,U001379,41.98,2025-01-01 01:50:00,0,,legit,T0000006
U001127,U000805,218.47,2025-01-01 02:12:00,0,,legit,T0000007
U001397,U000362,2430.29,2025-01-01 02:42:00,0,,legit,T0000008
U001141,U001124,2803.01,2025-01-01 02:50:00,0,,legit,T0000009
U000977,U001645,195.13,2025-01-01 04:01:00,0,,legit,T0000010
U000822,U001629,531.7,2025-01-01 04:11:00,0,,legit,T0000011
U001456,U000102,179.52,2025-01-01 04:26:00,0,,legit,T0000012
U001147,U001119,4769.51,2025-01-01 04:31:00,0,,legit,T0000013
U001347,U000885,438.13,2025-01-01 05:45:00,0,,legit,T0000014
U000026,U000096,4349.65,2025-01-01 06:02:00,0,,legit,T0000015
U000190,U000672,413.2,2025-01-01 06:28:00,0,,legit,T0000016
U000481,U000740,31773.58,2025-01-01 06:54:00,0,,legit,T0000017
U001715,U001927,339.27,2025-01-01 09:17:00,0,,legit,T0000018
U001245,U000356,4831.56,2025-01-01 09:23:00,0,,legit,T0000019
U000233,U001489,3191.29,2025-01-01 09:54:00,0,,legit,T0000020
U000130,U000905,56.96,2025-01-01 10:00:00,0,,legit,T0000021
U000457,U001296,1214.77,2025-01-01 10:22:00,0,,legit,T0000022
U000725,U001042,173.23,2025-01-01 11:22:00,0,,legit,T0000023
U000937,U001734,347.61,2025-01-01 11:58:00,0,,legit,T0000024
U001312,U000278,257.81,2025-01-01 12:12:00,0,,legit,T0000025
U001395,U001073,320.58,2025-01-01 12:41:00,0,,legit,T0000026
U000111,U000738,307.5,2025-01-01 13:05:00,0,,legit,T0000027
U001178,U000568,113.9,2025-01-01 13:44:00,0,,legit,T0000028
U001165,U001896,2729.21,2025-01-01 13:53:00,0,,legit,T0000029
U001220,U000258,1538.53,2025-01-01 14:07:00,0,,legit,T0000030
U001981,U001247,4650.46,2025-01-01 14:18:00,0,,legit,T0000031
U000503,U001286,316.14,2025-01-01 14:39:00,0,,legit,T0000032
U001066,U001479,19460.85,2025-01-01 14:53:00,0,,legit,T0000033
U000311,U000105,1667.21,2025-01-01 15:11:00,0,,legit,T0000034
U001236,U000764,2704.48,2025-01-01 15:26:00,0,,legit,T0000035
U001253,U000009,67.21,2025-01-01 16:33:00,0,,legit,T0000036
U000325,U000412,32704.25,2025-01-01 16:33:00,0,,legit,T0000037
U000047,U000927,357.54,2025-01-01 16:54:00,0,,legit,T0000038
U001176,U000761,4828.25,2025-01-01 19:11:00,0,,legit,T0000039
U001889,U001086,29.98,2025-01-01 19:20:00,0,,legit,T0000040
U000696,U001026,271.98,2025-01-01 19:38:00,0,,legit,T0000041
U001441,U001297,2486.9,2025-01-01 20:04:00,0,,legit,T0000042
U001490,U000667,29.43,2025-01-01 20:21:00,0,,legit,T0000043
U000751,U000929,23333.35,2025-01-01 20:32:00,0,,legit,T0000044
U000810,U000403,192.19,2025-01-01 21:52:00,0,,legit,T0000045
L002345,U000901,224.29,2025-01-01 22:07:00,0,,legit_by_fraud_acct,T0000046
U000882,U000562,177.36,2025-01-02 00:03:00,0,,legit,T0000047
U000776,U000994,155.83,2025-01-02 01:01:00,0,,legit,T0000048
U000278,U001909,85.49,2025-01-02 01:02:00,0,,legit,T0000049
U000617,U001049,1024.4,2025-01-02 01:17:00,0,,legit,T0000050
U001587,U001700,1498.99,2025-01-02 03:17:00,0,,legit,T0000051
F002062,M002052,3962.64,2025-01-02 03:26:00,1,MULE_3,mule_fanin,T0000052
F002053,M002052,4103.47,2025-01-02 03:28:00,1,MULE_3,mule_fanin,T0000053
F002069,M002052,4412.56,2025-01-02 03:28:00,1,MULE_3,mule_fanin,T0000054
F002066,M002052,8633.56,2025-01-02 03:32:00,1,MULE_3,mule_fanin,T0000055
F002054,M002052,3761.12,2025-01-02 03:36:00,1,MULE_3,mule_fanin,T0000056
F002070,M002052,5469.91,2025-01-02 03:38:00,1,MULE_3,mule_fanin,T0000057
F002068,M002052,7286.34,2025-01-02 03:39:00,1,MULE_3,mule_fanin,T0000058
F002061,M002052,5678.01,2025-01-02 03:39:00,1,MULE_3,mule_fanin,T0000059
F002064,M002052,5141.34,2025-01-02 03:39:00,1,MULE_3,mule_fanin,T0000060
U001343,U001408,234.98,2025-01-02 03:49:00,0,,legit,T0000061
F002065,M002052,7469.51,2025-01-02 04:07:00,1,MULE_3,mule_fanin,T0000062
F002056,M002052,8795.41,2025-01-02 04:18:00,1,MULE_3,mule_fanin,T0000063
M002052,C002074,17866.74,2025-01-02 04:23:00,1,MULE_3,mule_fanout,T0000064
U000306,U001529,347.99,2025-01-02 04:23:00,0,,legit,T0000065
F002059,M002052,2318.74,2025-01-02 04:24:00,1,MULE_3,mule_fanin,T0000066
F002057,M002052,5605.08,2025-01-02 04:26:00,1,MULE_3,mule_fanin,T0000067
F002055,M002052,8930.08,2025-01-02 04:35:00,1,MULE_3,mule_fanin,T0000068
F002067,M002052,6182.27,2025-01-02 04:36:00,1,MULE_3,mule_fanin,T0000069
F002058,M002052,3567.96,2025-01-02 04:40:00,1,MULE_3,mule_fanin,T0000070
F002063,M002052,1836.55,2025-01-02 04:42:00,1,MULE_3,mule_fanin,T0000071
F002060,M002052,2752.61,2025-01-02 04:48:00,1,MULE_3,mule_fanin,T0000072
U001870,U000998,4864.19,2025-01-02 04:49:00,0,,legit,T0000073
U001910,U000606,2226.73,2025-01-02 04:51:00,0,,legit,T0000074
U000422,U000354,2957.28,2025-01-02 05:15:00,0,,legit,T0000075
U000906,U000876,966.38,2025-01-02 05:16:00,0,,legit,T0000076
M002052,C002072,14289.97,2025-01-02 05:21:00,1,MULE_3,mule_fanout,T0000077
L002335,U001096,343.45,2025-01-02 05:39:00,0,,legit_by_fraud_acct,T0000078
